	2020 2021 2022 2023 2024 change24/23

OECD Americas	45782 52195 55342 53279 54644 1365

Canada	4299 4817 4363 4344 4344 0
Chile	150 150 150 150 150 0
Mexico	5498 5618 5558 5293 5136 -157
United States	35835 41610 45271 43492 45014 1522

OECD Europe	12412 11772 11251 11115 10399 -716

Denmark	441 428 340 346 365 19
Norway	7902 7745 7573 7642 6912 -730
United Kingdom	2500 2000 1800 1500 1500 0
Others	1569 1599 1538 1627 1622 -5

OECD Asia Pacific	2475 1833 1890 1906 1892 -14

Australia	2390 1747 1803 1803 1803 0
Others	85 86 87 103 89 -14

China	26023 26491 27003 27889 28182 293
India	4605 4489 4370 4849 4981 132
Other Asia	12841 12829 11315 11322 11519 197
Brunei	1100 1100 1100 1100 1100 0
Indonesia	2480 2440 2250 2270 2410 140
Malaysia	3600 3600 2700 2700 2700 0
Vietnam	4400 4400 4400 4400 4400 0
Others	1261 1289 865 852 909 57

Latin America	330719 340481 342265 343616 344883 1267

Argentina	2483 2411 2838 2924 2999 75
Brazil	12715 11890 13242 14856 15894 1038
Colombia	2036 1820 2040 2074 2019 -55
Ecuador	8273 8273 8273 8273 8273 0
Venezuela	303561 303468 303221 303008 303221 213
Others	1651 12619 12651 12481 12477 -4

Middle East	865519 869612 871095 871182 871218 36

IR Iran	208600 208600 208600 208600 208600 0
Iraq	145019 145019 145019 145019 145019 0
Kuwait	101500 101500 101500 101500 101500 0
Oman	5373 5373 4856 4905 4971 66
Qatar	25244 25244 25244 25244 25244 0
Saudi Arabia	267082 267192 267192 267230 267200 -30
United Arab Emirates	107000 111000 113000 113000 113000 0
Others	5701 5684 5684 5684 5684 0

Africa	123449 119099 119050 119583 119363 -220

Algeria	12200 12200 12200 12200 12200 0
Angola	7231 2516 2550 2550 2550 0
Congo	1811 1811 1811 1811 1811 0
Egypt	3075 3300 3300 3300 3300 0
Equatorial Guinea	1100 1100 1100 1100 1100 0
Gabon	2000 2000 2000 2000 2000 0
Libya	48363 48363 48363 48363 48363 0
Nigeria	36910 37050 36967 37500 37280 -220
Sudans	5000 5000 5000 5000 5000 0
Others	5759 5759 5759 5759 5759 0

Russia	80000 80000 80000 80000 80000 0

Other Eurasia	38874 38874 38874 38874 38874 0

Azerbaijan	7000 7000 7000 7000 7000 0
Belarus	198 198 198 198 198 0
Kazakhstan	30000 30000 30000 30000 30000 0
Turkmenistan	600 600 600 600 600 0
Ukraine	395 395 395 395 395 0
Uzbekistan	594 594 594 594 594 0
Others	87 87 87 87 87 0
Other Europe	914 914 914 914 914 0

Total world	1543613 1558589 1563369 1564529 1566869 2340
of which
OPEC	1235146 1239303 1240973 1241331 1241294 -37
OPEC pecentage	80.0 79.5 79.4 79.3 79.2
Non-OPEC DoC	137758 137861 136384 136168 136077 -91
DoC	1372904 1377164 1377357 1377499 1377371 -128
Non-DoC	170709 181425 186012 187030 189498 2468
